precursor,co2_uptake_lp,ch4_uptake_hp,logKH_CO2,logKH_CH4,pore_diameter,density,metal_frag,linker_smiles,label_co2_capture,label_ch4_storage
[Cu][Cu].[O-]C(=O)c1ccc(cc1)c1cc(C#Cc2ccc(cc2)N(c2ccc(cc2)C#Cc2cc(cc(c2)c2ccc(cc2)C(=O)[O-])c2ccc(cc2)C(=O)[O-])c2ccc(cc2)C#Cc2cc(cc(c2)c2ccc(cc2)C(=O)[O-])c2ccc(cc2)C(=O)[O-])cc(c1)c1ccc(cc1)C(=O)[O-],0.144083298,28.7858251626,-5.0167892649108365,-5.238646591449293,27.33782,0.238777,[Cu][Cu],[O-]C(=O)c1ccc(cc1)c1cc(C#Cc2ccc(cc2)N(c2ccc(cc2)C#Cc2cc(cc(c2)c2ccc(cc2)C(=O)[O-])c2ccc(cc2)C(=O)[O-])c2ccc(cc2)C#Cc2cc(cc(c2)c2ccc(cc2)C(=O)[O-])c2ccc(cc2)C(=O)[O-])cc(c1)c1ccc(cc1)C(=O)[O-],0,1
O=C(c1ccc(cc1)C1=NN=N[N]1)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].O=C(c1ccc(cc1)C1=N[N]N=N1)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cu][Cu].[Cu][O]([Cu])[Cu],0.236572991,18.9353087493,-4.794119270112462,-5.241496112306262,24.55082,0.377577,[Cu][Cu].[Cu][O]([Cu])[Cu],O=C(c1ccc(cc1)C1=NN=N[N]1)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].O=C(c1ccc(cc1)C1=N[N]N=N1)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-],0,1
[Co].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O-][n+]1ccc(cc1)c1cc[n+](cc1)[O-],1.796472553,4.8415392512,-3.7205110071603658,-4.4037977970646365,5.76724,1.2634299999999998,[Co],[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O-][n+]1ccc(cc1)c1cc[n+](cc1)[O-],0,0
[Gd].[O-]C(=O)c1ccc(cc1)C(=O)[O-],3.053486262,2.6575156756,-2.1391244001666987,-4.579465028194455,4.82721,1.60142,[Gd],[O-]C(=O)c1ccc(cc1)C(=O)[O-],1,0
[Co].[O]C=C(c1ccncc1)C=O,3.467157899,5.6050678007000005,-2.926245001876808,-3.643383368617497,4.43355,1.23763,[Co],[O]C=C(c1ccncc1)C=O,1,0
[Ni].[O].[V].n1ccc(cc1)c1ccncc1,6.396883185,4.1665687345,-0.4675284502521832,-4.983079424868465,5.40135,1.53544,[Ni].[O].[V],n1ccc(cc1)c1ccncc1,1,0
[La].[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-],1.248385207,3.8793926377,-3.968026310908283,-4.524327359188093,5.97541,1.21661,[La],[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-],0,0
[Eu].[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-],1.333872286,3.6779930289,-3.918224370782837,-4.4572629342016885,5.9443,1.28796,[Eu],[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-],0,0
[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-].[Tb],1.406211438,3.644507692,-3.882705498388868,-4.426806860248633,5.93337,1.3157299999999998,[Tb],[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-],0,0
[O-]C(=O)c1cccc(c1)OCc1c(COc2cccc(c2)C(=O)[O-])c(COc2cccc(c2)C(=O)[O-])c(c(c1COc1cccc(c1)C(=O)[O-])COc1cccc(c1)C(=O)[O-])COc1cccc(c1)C(=O)[O-].[Zn],0.566248686,12.1140149176,-4.430709211298975,-4.964166175737205,9.28386,0.722123,[Zn],[O-]C(=O)c1cccc(c1)OCc1c(COc2cccc(c2)C(=O)[O-])c(COc2cccc(c2)C(=O)[O-])c(c(c1COc1cccc(c1)C(=O)[O-])COc1cccc(c1)C(=O)[O-])COc1cccc(c1)C(=O)[O-],0,1
[Ni].[O-]C(=O)c1cccc(c1)OCc1c(COc2cccc(c2)C(=O)[O-])c(COc2cccc(c2)C(=O)[O-])c(c(c1COc1cccc(c1)C(=O)[O-])COc1cccc(c1)C(=O)[O-])COc1cccc(c1)C(=O)[O-],0.597867882,17.9304986882,-4.460429639141582,-4.896832798606353,16.37538,0.521247,[Ni],[O-]C(=O)c1cccc(c1)OCc1c(COc2cccc(c2)C(=O)[O-])c(COc2cccc(c2)C(=O)[O-])c(c(c1COc1cccc(c1)C(=O)[O-])COc1cccc(c1)C(=O)[O-])COc1cccc(c1)C(=O)[O-],0,1
[La].[O-]C(=O)C(=O)[O-].[O-]C(=O)C=CC(=O)[O-],3.655967564,3.2233712579,-1.056379863541093,-5.166094651062672,4.375380000000001,1.83885,[La],[O-]C(=O)C(=O)[O-].[O-]C(=O)C=CC(=O)[O-],1,0
[O-]C(=O)c1ccc(cc1)C#Cc1ccc(cc1)C(=O)[O-].[Zn].n1ccc(cc1)c1ccncc1,2.956166773,6.966805854,-3.491952649352543,-4.149923192363596,4.640219999999999,1.06928,[Zn],[O-]C(=O)c1ccc(cc1)C#Cc1ccc(cc1)C(=O)[O-].n1ccc(cc1)c1ccncc1,1,0
Brc1cc(ccc1C#Cc1ccc(cc1Br)C(=O)[O-])C(=O)[O-].C1=C[C](C=C[N]1)c1ccncc1.[Zn][Zn].n1ccc(cc1)c1ccncc1,0.628206864,4.315028313,-4.306388233509374,-4.913014097622447,7.1406600000000005,1.32285,[Zn][Zn],Brc1cc(ccc1C#Cc1ccc(cc1Br)C(=O)[O-])C(=O)[O-].C1=C[C](C=C[N]1)c1ccncc1.n1ccc(cc1)c1ccncc1,0,0
C1=C[N]C=N1.C1=N[CH]C=N1.[Co],0.540676777,5.1571265328,-4.323485630975639,-4.7765611726470825,6.3306,1.1222299999999998,[Co],C1=C[N]C=N1.C1=N[CH]C=N1,0,0
[N]1C=NN=C1.[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn],1.934972196,1.9595567922,-2.9623066324165315,-5.1306996202178405,4.25157,1.62091,[Zn],[N]1C=NN=C1.[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],0,0
[Eu].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-],2.790880691,7.809706996699999,-3.3234902044077144,-4.525552076838634,8.7931,1.07439,[Eu],[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-],1,0
[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[Sm],3.080777074,8.0822724131,-2.7717973262057005,-4.548597386402506,8.80212,1.05969,[Sm],[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-],1,1
[La].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-],2.24793664,8.1836944089,-3.753220843354791,-4.563603565021632,8.32882,1.04077,[La],[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-],0,1
[Ce].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-],3.153573811,8.2883239914,-2.9047016003067525,-4.544082159150304,8.81515,1.02206,[Ce],[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-],1,1
[Gd].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-],1.780140056,7.7990764554,-3.822146191477701,-4.523888930079568,8.793339999999999,1.0948,[Gd],[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-],0,0
