precursor,n_mofs_sharing_precursor,co2_uptake_range,ch4_uptake_range
O1O[Mo]2341O[Mo]15O[Mo]678[O]4[Zn]49[O]%10[Mo]%11%12O[Mo]%13%14%15[O]9[Mo]9%16%13[O]([Zn]%13%17[O]3[Mo]3%18[O]2[Zn]2[O]1[Mo]1%19[O]5[Zn]5[O]7[Mo]78([O]6%17)O[Mo]68[O]%13[Mo]%13(O%18)O[Mo]%17%18([O]2[Mo]2%17(O1)O[Mo]1%17(O%19)[O]5[Mo]1(O7)(O8)[O]%17[Zn]([O]%182)[O]6%13)O3)[Mo]123([O]4[Mo]45[O]3[Zn]3[O]6[Mo](O9)(O2)[O]2[Zn]([O]%14%16)[O]7[Mo]8(O%11)(O%15)[O]9[Zn]%11[O]%12[Mo]%10(O[Mo]%10%12(O5)[O]3[Mo]3%12([O]%11%10)O[Mo]789O[Mo]62O3)O4)OO1.O1[Mo]234O[Mo]56O[Mo]781[O]1[Mo]9%108[O]7[Zn]7[O]3[Mo]384[O]2[Zn]2[O]6[Mo]46[O]5[Zn]1[O]1[Mo]5%11(O%10)[Mo]%101([O]%11[Zn]1%11[O]%12[Mo](O3)([O]7[Mo]%12(O9)O5)O[Mo]35(O8)[O]2[Mo]3([O]15)(O6)[O]%10[Zn]12[O]3[Mo]56O[Mo]789[O]2[Mo]2%107[O]%11[Mo]7%11%12[O]1[Mo]1%137[O]%12[Zn]7[O]%12[Mo](O2)(O%11)[O]2[Zn]([O]8%10)[O]8[Mo]%10(O5)(O9)[O]5[Zn]9[O]6[Mo]3(O1)O[Mo]13(O%13)[O]7[Mo]63([O]91)O[Mo]8%105O[Mo]%122O6)O4.[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])C1=CC=[C]C=C1.[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],2,0.0037506490000000503,0.02228228919999964
O1[Mo]234O[Mo]56O[Mo]781[O]1[Mo]9%108[O]7[Zn]7[O]3[Mo]384[O]2[Zn]2[O]6[Mo]46[O]5[Zn]1[O]1[Mo]5%11(O%10)[Mo]%101([O]%11[Zn]1%11[O]%12[Mo](O3)([O]7[Mo]%12(O9)O5)O[Mo]35(O8)[O]2[Mo]3([O]15)(O6)[O]%10[Zn]12[O]3[Mo]56O[Mo]789[O]2[Mo]2%107[O]%11[Mo]7%11%12[O]1[Mo]1%137[O]%12[Zn]7[O]%12[Mo](O2)(O%11)[O]2[Zn]([O]8%10)[O]8[Mo]%10(O5)(O9)[O]5[Zn]9[O]6[Mo]3(O1)O[Mo]13(O%13)[O]7[Mo]63([O]91)O[Mo]8%105O[Mo]%122O6)O4.[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],3,0.07587290900000002,0.04851460999999979
O1[V]2O[V]3[O]4562[V]1O[V]6O[V]5O[V]4O3.[O-][n+]1ccc(cc1)c1cc[n+](cc1)[O-].[O]CC(NCc1ccc(cc1)C(=O)[O-])(C[O])C[O].[O]N1[CH]C=C(C=C1)c1cc[n+](cc1)[O-].[Tb],2,0.05487079000000028,0.009318694199998312
O=C(N1CCCC1C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cu][Cu],3,0.887142518,2.1139281569
O=C(Nc1cccnc1)Cc1ccc(cc1)CC(=O)Nc1cccnc1.[Cd],2,0.4060424679999999,4.344360460099999
O=C(c1cc(cc(c1)C(=O)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1cc(cc(c1)C(=O)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-])Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cu][Cu],3,0.13668849500000002,0.2614149663000003
O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-])Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cd],2,0.025138951999999937,0.05961311669999958
O=C(c1ccc(cc1)Oc1ccc(cc1)C(=O)[N]c1ccncc1)[N]c1ccncc1.[Co].[O-]C(=O)c1ccc(cc1)C(=O)[O-],2,0.050900702999999936,0.021462667900000287
O=C(c1ccccn1)c1cccnc1.[Ag][Ag],2,0.018032665000000003,0.01634923569999991
O=C(c1cccnc1)NCCNC(=O)c1cccnc1.[Cu],2,1.924434116,15.622824884
O=C(c1cccnc1)c1cccnc1.[Ag][Ag],11,0.25132075500000006,0.6850605559999989
O=C(c1ccncc1)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cu],4,0.06024091199999981,0.005313612700000192
O=C(c1ccncc1)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn][Zn],2,0.534042143,0.5724931772000001
O=C(c1ccncc1)[CH]C(=O)C.[Cu],2,0.0014340870000000283,0.017123109699999972
O=C1C(=O)C(=O)C1=O.[Co].[OH],3,0.25341438299999997,0.1052724395000002
O=C1N(c2ccncc2)C(=O)c2c3c1ccc1c3c(cc2)C(=O)N(C1=O)c1ccncc1.[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][Zn],2,0.5491808090000001,4.323261758799999
O=C1N(c2ccncc2)C(=O)c2c3c1ccc1c3c(cc2)C(=O)N(C1=O)c1ccncc1.[O-]C(=O)c1ccc(cc1)C1=C2C=CC3=[N]2[Mn]24n5c1ccc5C(=C1[N]2=C(C=C1)C(=c1n4c(=C3c2ccc(cc2)C(=O)[O-])cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[Zn][Zn],3,0.43965577499999986,1.1759803393000006
O=C1N(c2ccncc2)C(=O)c2c3c1ccc1c3c(cc2)C(=O)N(C1=O)c1ccncc1.[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-].[Zn][Zn],2,0.07060264999999999,0.06956758659999807
