application,feature_group,model,split_type,n_seeds,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,enrichment_top10_mean,enrichment_top10_std,enrichment_top25_mean,enrichment_top25_std,train_time_sec_mean,train_time_sec_std,inference_time_sec_per_sample_mean,inference_time_sec_per_sample_std,peak_train_memory_kb_mean,peak_train_memory_kb_std,model_size_kb_mean,model_size_kb_std
ch4_storage,precursor_only,logistic_regression,random_group_aware,1,0.788936170212766,0.0,0.675,0.0,0.35526315789473684,0.0,0.46551724137931033,0.0,0.8365535681914316,0.0,0.6205094485301395,0.0,2.7419309491677915,0.0,2.3349088377941443,0.0,0.3905363999997462,0.0,8.56714893629071e-06,0.0,25337.8701171875,0.0,12.1640625,0.0
ch4_storage,precursor_only,random_forest,random_group_aware,1,0.8051063829787234,0.0,0.7906976744186046,0.0,0.3355263157894737,0.0,0.47113163972286376,0.0,0.8638512901081636,0.0,0.714564844598057,0.0,3.105319388214125,0.0,2.598740344889528,0.0,1.8147893999998814,0.0,5.4034127659836855e-05,0.0,18101.7646484375,0.0,11187.4267578125,0.0
ch4_storage,precursor_only,xgboost,random_group_aware,1,0.8365957446808511,0.0,0.7978723404255319,0.0,0.4934210526315789,0.0,0.6097560975609756,0.0,0.8726169254939875,0.0,0.7335808263766471,0.0,3.1713900134952766,0.0,2.572357194179989,0.0,1.9347208999997747,0.0,7.249123404262912e-05,0.0,6286.962890625,0.0,515.935546875,0.0
ch4_storage,descriptor_only,logistic_regression,random_group_aware,1,0.7651063829787234,0.0,0.625,0.0,0.23026315789473684,0.0,0.33653846153846156,0.0,0.7820430992809233,0.0,0.558071515577992,0.0,2.444613135402609,0.0,1.952353152505838,0.0,0.17370679999976346,0.0,1.7417872341150329e-06,0.0,1722.87890625,0.0,1.978515625,0.0
ch4_storage,descriptor_only,random_forest,random_group_aware,1,0.8195744680851064,0.0,0.7613636363636364,0.0,0.4407894736842105,0.0,0.5583333333333333,0.0,0.8590738111064113,0.0,0.6790785409552893,0.0,2.7088956365272154,0.0,2.5195908927609127,0.0,1.7497444000000542,0.0,4.5459829787123067e-05,0.0,4832.4189453125,0.0,5882.896484375,0.0
ch4_storage,descriptor_only,xgboost,random_group_aware,1,0.8306382978723404,0.0,0.7488151658767772,0.0,0.5197368421052632,0.0,0.6135922330097088,0.0,0.8697164481237537,0.0,0.7043082041937263,0.0,2.9731781376518223,0.0,2.545974043470451,0.0,0.320227000000159,0.0,4.628000000245284e-06,0.0,132.873046875,0.0,537.775390625,0.0
ch4_storage,precursor_descriptor,logistic_regression,random_group_aware,1,0.8204255319148936,0.0,0.694560669456067,0.0,0.5460526315789473,0.0,0.6114180478821363,0.0,0.8456477732793521,0.0,0.6489644006516582,0.0,2.841036887089519,0.0,2.506399317406143,0.0,0.47334920000002967,0.0,7.588255319089822e-06,0.0,26907.59375,0.0,12.986328125,0.0
ch4_storage,precursor_descriptor,random_forest,random_group_aware,1,0.814468085106383,0.0,0.7828947368421053,0.0,0.39144736842105265,0.0,0.5219298245614035,0.0,0.8839846818538885,0.0,0.7519213398256738,0.0,3.30353126405758,0.0,2.7438476737919886,0.0,2.0524294000001646,0.0,7.160468085087214e-05,0.0,19224.138671875,0.0,12442.0927734375,0.0
ch4_storage,precursor_descriptor,xgboost,random_group_aware,1,0.8451063829787234,0.0,0.7699115044247787,0.0,0.5723684210526315,0.0,0.6566037735849056,0.0,0.8905239742582634,0.0,0.7398321425815113,0.0,3.1713900134952766,0.0,2.6515066463086043,0.0,2.1636457000004157,0.0,4.607804255314516e-05,0.0,6311.5185546875,0.0,515.005859375,0.0
co2_capture,precursor_only,logistic_regression,metal_element_holdout,1,0.7801480191554201,0.0,0.22823529411764706,0.0,0.354014598540146,0.0,0.27753934191702434,0.0,0.6649245357224041,0.0,0.1946825888030281,0.0,2.306298409460364,0.0,1.6065388234695694,0.0,0.3026956000003338,0.0,7.11793643884323e-06,0.0,20752.0791015625,0.0,12.1640625,0.0
