mof_id,precursor,error_type,likely_cause
5430,[C][N][N]c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cd].[O-]C(=O)C1=CC=[C]C=C1.[O-]C(=O)c1cc(cc(c1)C(=O)[O-])N1[C][C]1,false_negative,unexplained
5431,[Cd].[O-]C(=O)c1ccc(cc1)[C]=Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-],false_negative,unexplained
5553,[Zn].n1ccc(cc1)C1=NC(=N[N]1)C1=CN=N[CH]1.n1ccc(cc1)C1=NN=C([N]1)C1=C[N]N=C1.n1ccc(cc1)C1=NN=C([N]1)[C]1C=NN=C1,false_negative,unexplained
5669,C1COCCOc2cc(OCCOCCOCCOc3cc(OCCO1)cc(c3)c1ccncc1)cc(c2)c1ccncc1.[O-]C(=O)c1cccc(c1)c1ccc(c2c1[nH]c(n2)c1ccc(cc1)c1nc2c([nH]1)c(ccc2c1cccc(c1)C(=O)[O-])c1cccc(c1)C(=O)[O-])c1cccc(c1)C(=O)[O-].[Zn],false_positive,out_of_domain_size
5963,[Ag].n1ccnc(c1)Cc1nccnc1,false_negative,unexplained
6029,O=C(c1ccc(cc1)C(=O)Nc1ccncc1)Nc1ccncc1.[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[Zn],false_negative,unexplained
6316,NC1=NN=N[N]1.[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-].[Zn],false_negative,unexplained
6397,[Cd].c1ncn(c1)c1ccc(cc1)N(c1ccc(cc1)n1cncc1)c1ccc(cc1)n1cncc1,false_negative,unexplained
6453,[Co].n1cc([nH]c1)c1ccc(cc1)c1[nH]cnc1,false_positive,unexplained
6508,O=C(c1cc(cc(c1)C(=O)Nc1ccc(cc1)C(=O)[O-])C(=O)Nc1ccc(cc1)C(=O)[O-])Nc1ccc(cc1)C(=O)[O-].[Ce],false_negative,unusual_metal
6566,N#C[C](C1=[C][C]=C([C]=[C]1)[C](C#N)C#N)C#N.N1=[C][C]=C([C]=[C]1)C1=[C][C]=N[C]=[C]1.[Co],false_negative,unexplained
6794,[O-]C(=O)c1cc(N=Nc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-].[O]N(=O)=O.[Zn],false_negative,unexplained
7027,[Cd].[O-]C(=O)c1cc(N=Nc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],false_negative,unexplained
7238,[Co][OH]([Co])[Co].[O-]C(=O)C.[O-]C(=O)c1ccc(cc1)c1cc(cc(n1)c1ccc(cc1)C(=O)[O-])c1ccncc1,false_negative,unexplained
7241,Cl[Co].N1=NC2=C[C]3C(=CC2=N1)Oc1c(O3)cc2=N[N]N=c2c1.N1=NC2=C[C]3C(=CC2=N1)Oc1c(O3)cc2c(c1)N=N[N]2.N1=NC2=C[C]3C(=CC2=N1)Oc1c(O3)cc2c(c1)[N]N=N2.N1=N[C]2C(=N1)C=C1C(=C2)Oc2c(O1)cc1c(c2)[N]N=N1.[Zn],false_negative,out_of_domain_size
7258,C1=N[N]C=N1.[Cu].[N]1C=NN=C1,false_negative,unexplained
7261,C1=N[N]C=N1.[Cu].[N]1C=NN=C1,false_negative,unexplained
7262,C1=N[N]C=N1.[Cu].[N]1C=NN=C1,false_negative,unexplained
7265,C1=N[N]C=N1.[Cu].[N]1C=NN=C1,false_negative,unexplained
7266,C1=N[N]C=N1.[Cu].[N]1C=NN=C1,false_negative,unexplained
7268,C1=N[N]C=N1.[Cu].[N]1C=NN=C1,false_negative,unexplained
7269,C1=N[N]C=N1.[Cu].[N]1C=NN=C1,false_negative,unexplained
7376,O=C(c1cc(cc(c1)C(=O)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-])Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Y],false_negative,unusual_metal
7567,[Mn].[N](C=C1N=CN=C1)[N]C=C1N=CN=C1.[N](C=C1[CH]N=C[N]1)[N]C=C1C=NC=N1,false_negative,unexplained
7736,[Al].[Al]1O[Al]O1.[O-]C(=O)C1=[C]C(=NC(=[C]1)C(=O)[O-])C(=O)[O-].[O],false_positive,unusual_metal
7808,[Cd].[N]1C=NN=C1.[O-]C(=O)c1ccc(cc1)C=Cc1ccc(cc1)C(=O)[O-],false_negative,unexplained
7825,O=C(c1ccncc1)[CH]C(=O)c1ccncc1.[Ag].[Al].[O][C](c1ccncc1)C=C(c1ccncc1)[O],false_negative,unusual_metal
7848,[Cu].[Cu][Cu].[O-]C(=O)c1ccc(cc1)n1cncc1,false_negative,unexplained
7858,C1=CC=C2C(=NN=N2)[CH]1.[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn],false_negative,unexplained
7882,[Cu].[O-]C(=O)C1=C(C)[N]N=C1C.[O-]C(=O)[C]1C(=NN=C1C)C,false_negative,unexplained
7883,[Cu].[O-]C(=O)C1=C(C)[N]N=C1C.[O-]C(=O)[C]1C(=NN=C1C)C,false_negative,unexplained
8038,Nn1cnnc1.[Co],false_negative,unexplained
8040,NNc1nncn1N.[Ni],false_negative,unexplained
8054,[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn].n1ccc(cc1)C1=CC=C2N([CH]1)CC([N]2)c1ccc(cc1)c1ccncc1.n1ccc(cc1)C1=CN2C(=NC(C2)c2ccc(cc2)c2ccncc2)C=C1,false_positive,out_of_domain_size
8080,C1=C[N][C]=N1.[C]1=N[CH]C=N1.[Zn],false_negative,unexplained
8104,[Cu].n1ncn(c1)[N][N]n1cnnc1,false_negative,unexplained
8211,[Co].n1cc([nH]c1)c1ccc(cc1)c1[nH]cnc1,false_positive,unexplained
8259,[Eu].[O-]C(=O)c1ccc(cc1)[C]1N[C](N[C](N1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],false_negative,unexplained
8260,[In].[O-]C(=O)C(=O)[O-].[O-]C(=O)c1ccc(cc1)[C]1N[C](N[C](N1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],false_negative,unexplained
